case,play_id,song,start,end,source_start,tempo,treatment,e014_detected,diagnostic,windows,oracle_start_streak,oracle_hold_streak,oracle_start_checks,oracle_hold_checks,query_peaks,query_matched,reference_peaks,reference_matched,maximum_retrieval_confidence,retrieval_high_checks,retrieval_start_checks,retrieval_correct_trajectory_start_checks,active_failed_checks,pending_failed_checks,hash_query_hashes,hash_supported_raw,hash_supported_after_cap,hash_query_supported_fraction,hash_query_supported_fraction_after_cap,hash_reference_hashes,hash_reference_hashes_recovered,hash_reference_recovery_fraction,hash_query_anchors,hash_supported_anchors,hash_supported_anchors_after_cap
gain,clean-t01,t01,7.0,17.0,145.8395238095238,1.0,gain,True,detected,4,4,4,4,4,109,77,101,77,96.434938,12,12,1,0,0,3587,891,559,0.24839698912740452,0.1558405352662392,3307,891,0.2694284850317508,130,92,88
gain,clean-t02,t02,33.0,43.0,181.148231292517,1.0,gain,True,detected,4,4,4,4,4,151,138,149,138,98.792271,12,12,4,0,0,5969,3819,3555,0.6398056625900486,0.5955771486011057,5810,3819,0.6573149741824441,184,164,164
gain,clean-t03,t03,59.0,69.0,377.43632653061223,1.0,gain,True,detected,4,4,4,4,4,164,123,171,123,97.397528,12,12,4,0,0,5982,1693,1567,0.28301571380809093,0.2619525242393848,6118,1693,0.2767244197450147,197,150,150
gain,clean-t04,t04,85.0,95.0,267.9507709750567,1.0,gain,True,detected,4,4,4,4,4,104,91,102,91,98.439938,4,4,4,0,1,4424,2780,2562,0.6283905967450272,0.5791139240506329,4543,2780,0.611930442438917,126,111,110
gain,clean-t05,t05,111.0,121.0,27.81875283446712,1.0,gain,True,detected,4,4,4,4,4,154,139,149,139,98.040176,12,12,4,0,1,5258,2929,2368,0.5570559147965005,0.4503613541270445,5077,2929,0.5769155012802837,184,165,165
gain,clean-t06,t06,137.0,147.0,102.63619047619048,1.0,gain,True,detected,4,4,4,4,4,140,117,141,117,98.486568,12,10,4,0,2,5541,2785,2755,0.5026168561631474,0.4972026709980148,5411,2785,0.5146922934762521,167,140,140
gain,clean-t07,t07,163.0,173.0,245.48938775510203,1.0,gain,True,detected,4,4,4,4,4,167,151,164,151,98.946537,11,10,4,0,0,6217,4372,4190,0.7032330706128358,0.673958500884671,6222,4372,0.7026679524268724,194,175,175
gain,clean-t08,t08,189.0,199.0,169.29913832199546,1.0,gain,True,detected,4,4,4,4,4,123,113,120,113,98.779371,10,6,4,0,0,5371,3899,3852,0.7259355799664867,0.7171848817724819,5371,3899,0.7259355799664867,149,138,138
gain,clean-t09,t09,215.0,225.0,85.31986394557823,1.0,gain,True,detected,4,4,4,4,4,161,114,163,114,97.493734,10,7,4,0,1,6208,1815,1771,0.2923646907216495,0.2852770618556701,6254,1815,0.29021426287176205,190,138,138
gain,clean-t10,t10,241.0,251.0,224.2661678004535,1.0,gain,True,detected,4,4,4,4,4,157,122,153,122,97.882478,12,10,4,0,1,6499,2450,2408,0.37698107401138636,0.3705185413140483,6330,2450,0.38704581358609796,194,149,149
gain,clean-t11,t11,267.0,277.0,95.63020408163266,1.0,gain,True,detected,4,4,4,4,4,128,114,129,114,98.707175,9,8,4,0,1,5024,3267,3108,0.6502786624203821,0.6186305732484076,5124,3267,0.6375878220140515,150,135,135
