case,play,song,begin_frame,end_frame,begin,end,query_peaks,query_matched,reference_peaks,reference_matched,verify_q,verify_r,oracle_start,oracle_hold,maximum_retrieval_confidence,native_start_gate_candidates,native_hold_predictions
gain,clean-t01,t01,1378,1723,7.999274376417233,10.001995464852607,22,14,22,14,0.6363636363636364,0.6363636363636364,True,True,86.206897,3,0
gain,clean-t01,t01,1723,2067,10.001995464852607,11.99891156462585,26,18,23,18,0.6923076923076923,0.782608695652174,True,True,93.138937,3,1
gain,clean-t01,t01,2067,2412,11.99891156462585,14.001632653061224,28,21,28,21,0.75,0.75,True,True,94.993742,3,1
gain,clean-t01,t01,2412,2756,14.001632653061224,15.998548752834466,33,24,28,24,0.7272727272727273,0.8571428571428571,True,True,96.434938,3,1
gain,clean-t02,t02,5857,6202,33.99981859410431,36.002539682539684,38,35,38,35,0.9210526315789473,0.9210526315789473,True,True,96.438112,3,0
gain,clean-t02,t02,6202,6546,36.002539682539684,37.99945578231293,35,33,35,33,0.9428571428571428,0.9428571428571428,True,True,97.772829,3,1
gain,clean-t02,t02,6546,6891,37.99945578231293,40.0021768707483,41,37,40,37,0.9024390243902439,0.925,True,True,98.51632,3,1
gain,clean-t02,t02,6891,7235,40.0021768707483,41.999092970521545,37,33,36,33,0.8918918918918919,0.9166666666666666,True,True,98.792271,3,1
gain,clean-t03,t03,10336,10680,60.00036281179138,61.99727891156463,37,27,38,27,0.7297297297297297,0.7105263157894737,True,True,93.197279,3,0
gain,clean-t03,t03,10680,11025,61.99727891156463,64.0,40,27,41,27,0.675,0.6585365853658537,True,True,95.098039,3,1
gain,clean-t03,t03,11025,11370,64.0,66.00272108843538,44,36,48,36,0.8181818181818182,0.75,True,True,96.674979,3,1
gain,clean-t03,t03,11370,11714,66.00272108843538,67.99963718820862,43,33,44,33,0.7674418604651163,0.75,True,True,97.397528,3,1
gain,clean-t04,t04,14815,15159,86.00090702947846,87.9978231292517,19,19,20,19,1.0,0.95,True,True,95.337995,1,0
gain,clean-t04,t04,15159,15504,87.9978231292517,90.00054421768708,31,29,30,29,0.9354838709677419,0.9666666666666667,True,True,97.5,1,1
gain,clean-t04,t04,15504,15848,90.00054421768708,91.99746031746032,28,22,27,22,0.7857142857142857,0.8148148148148148,True,True,97.919917,1,1
gain,clean-t04,t04,15848,16193,91.99746031746032,94.00018140589569,26,21,25,21,0.8076923076923077,0.84,True,True,98.439938,1,1
gain,clean-t05,t05,19294,19638,112.00145124716553,113.99836734693878,35,33,35,33,0.9428571428571428,0.9428571428571428,True,True,96.09375,3,0
gain,clean-t05,t05,19638,19983,113.99836734693878,116.00108843537414,40,36,39,36,0.9,0.9230769230769231,True,True,97.001499,3,1
gain,clean-t05,t05,19983,20327,116.00108843537414,117.99800453514739,42,35,38,35,0.8333333333333334,0.9210526315789473,True,True,97.485858,3,1
gain,clean-t05,t05,20327,20672,117.99800453514739,120.00072562358277,37,35,37,35,0.9459459459459459,0.9459459459459459,True,True,98.040176,3,1
gain,clean-t06,t06,23773,24117,138.0019954648526,139.99891156462584,33,28,32,28,0.8484848484848485,0.875,True,True,95.867769,1,0
gain,clean-t06,t06,24117,24462,139.99891156462584,142.00163265306122,36,31,37,31,0.8611111111111112,0.8378378378378378,True,True,97.450605,3,1
gain,clean-t06,t06,24462,24806,142.00163265306122,143.99854875283447,34,28,36,28,0.8235294117647058,0.7777777777777778,True,True,98.149005,3,1
gain,clean-t06,t06,24806,25151,143.99854875283447,146.00126984126985,37,30,36,30,0.8108108108108109,0.8333333333333334,True,True,98.486568,3,1
gain,clean-t07,t07,28252,28596,164.0025396825397,165.99945578231294,40,37,40,37,0.925,0.925,True,True,96.27907,2,0
gain,clean-t07,t07,28596,28941,165.99945578231294,168.0021768707483,46,40,44,40,0.8695652173913043,0.9090909090909091,True,True,97.873472,2,1
gain,clean-t07,t07,28941,29285,168.0021768707483,169.99909297052153,44,41,44,41,0.9318181818181818,0.9318181818181818,True,True,98.640381,3,1
gain,clean-t07,t07,29285,29630,169.99909297052153,172.0018140589569,37,33,36,33,0.8918918918918919,0.9166666666666666,True,True,98.946537,3,1
gain,clean-t08,t08,32730,33075,189.99727891156462,192.0,35,33,33,33,0.9428571428571428,1.0,True,True,96.95586,2,0
gain,clean-t08,t08,33075,33420,192.0,194.00272108843538,32,26,29,26,0.8125,0.896551724137931,True,True,97.787611,1,1
gain,clean-t08,t08,33420,33764,194.00272108843538,195.99963718820862,35,33,36,33,0.9428571428571428,0.9166666666666666,True,True,98.494543,2,1
gain,clean-t08,t08,33764,34109,195.99963718820862,198.002358276644,21,21,22,21,1.0,0.9545454545454546,True,True,98.779371,1,1
gain,clean-t09,t09,37209,37554,215.9978231292517,218.00054421768706,42,31,43,31,0.7380952380952381,0.7209302325581395,True,True,93.366501,1,0
gain,clean-t09,t09,37554,37898,218.00054421768706,219.9974603174603,39,27,37,27,0.6923076923076923,0.7297297297297297,True,True,95.680346,3,1
gain,clean-t09,t09,37898,38243,219.9974603174603,222.0001814058957,41,27,44,27,0.6585365853658537,0.6136363636363636,True,True,96.548749,1,1
gain,clean-t09,t09,38243,38588,222.0001814058957,224.00290249433107,39,29,39,29,0.7435897435897436,0.7435897435897436,True,True,97.493734,2,1
gain,clean-t10,t10,41688,42033,241.99836734693878,244.00108843537416,43,35,42,35,0.813953488372093,0.8333333333333334,True,True,95.104039,2,0
gain,clean-t10,t10,42033,42377,244.00108843537416,245.9980045351474,44,35,42,35,0.7954545454545454,0.8333333333333334,True,True,96.742671,2,1
gain,clean-t10,t10,42377,42722,245.9980045351474,248.00072562358275,36,27,33,27,0.75,0.8181818181818182,True,True,97.596154,3,1
gain,clean-t10,t10,42722,43066,248.00072562358275,249.997641723356,34,25,36,25,0.7352941176470589,0.6944444444444444,True,True,97.882478,3,1
gain,clean-t11,t11,46167,46512,267.99891156462587,270.0016326530612,31,28,34,28,0.9032258064516129,0.8235294117647058,True,True,95.731057,1,0
gain,clean-t11,t11,46512,46856,270.0016326530612,271.9985487528345,26,19,24,19,0.7307692307692307,0.7916666666666666,True,True,97.052321,2,1
gain,clean-t11,t11,46856,47201,271.9985487528345,274.00126984126985,34,32,36,32,0.9411764705882353,0.8888888888888888,True,True,98.164296,2,1
gain,clean-t11,t11,47201,47545,274.00126984126985,275.99818594104306,37,35,35,35,0.9459459459459459,1.0,True,True,98.707175,3,1
gain,clean-t12,t12,50646,50991,293.9994557823129,296.0021768707483,33,30,36,30,0.9090909090909091,0.8333333333333334,True,True,93.18569,3,0
gain,clean-t12,t12,50991,51335,296.0021768707483,297.99909297052153,39,31,40,31,0.7948717948717948,0.775,True,True,95.753715,3,1
gain,clean-t12,t12,51335,51680,297.99909297052153,300.00181405895694,39,31,38,31,0.7948717948717948,0.8157894736842105,True,True,97.903564,3,1
gain,clean-t12,t12,51680,52024,300.00181405895694,301.99873015873015,30,26,32,26,0.8666666666666667,0.8125,True,True,98.286938,2,1
gain,clean-t13,t13,55125,55470,320.0,322.00272108843535,40,32,39,32,0.8,0.8205128205128205,True,True,94.897959,1,0
